#ID,03A,03B,03C,04A,04B,04C,05A,05B,05C,06A,06B,06C,07A,07B,07C,08A,08B,08C,09A,09B,09C,10A,10B,10C,11A,11B,11C,12A,12B,12C,13A,13B,13C,14A,14B,14C,Asum
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia,121,47,10,8,0,0,188,13,216,0,0,10,30,0,0,74,90,0,5,0,0,23,0,12,0,53,0,13,91,0,0,22,37,0,0,0,1063
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17,0,107,13,0,18,0,61,107,146,0,0,0,8,27,51,254,0,0,0,9,0,11,0,13,0,24,32,0,42,0,0,0,98,0,0,0,1021
D_0__Bacteria;D_1__WPS-2;__,0,89,33,0,0,0,221,44,99,0,0,0,6,59,91,0,63,0,0,14,0,0,0,8,0,0,0,0,36,193,0,0,0,0,0,0,956
D_0__Bacteria;D_1__Planctomycetes;D_2__BD7-11,0,29,108,0,0,0,27,34,399,0,9,0,10,0,66,0,42,0,0,12,16,0,8,0,0,24,0,0,45,6,0,0,56,0,0,0,891
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia,73,19,0,3,0,0,300,26,206,0,0,0,21,0,22,0,0,0,11,0,0,0,0,0,0,0,0,140,15,0,0,0,0,14,0,0,850
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Nanohaloarchaeia,83,3,0,16,0,0,168,29,214,71,5,0,105,0,24,0,0,13,58,0,0,0,0,3,0,0,0,0,25,0,13,0,0,0,10,0,840
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4),12,28,4,5,0,0,149,7,67,0,0,0,70,0,14,0,0,0,0,0,13,0,0,0,50,0,0,210,23,40,0,25,94,20,0,0,831
D_0__Bacteria;D_1__Planctomycetes;__,50,9,0,5,0,0,162,13,260,9,0,0,46,24,0,66,5,0,0,5,0,0,0,3,8,0,0,0,11,0,14,12,0,66,6,0,774
D_0__Bacteria;D_1__Acidobacteria;D_2__Thermoanaerobaculia,0,0,21,0,0,0,8,0,0,0,0,0,0,0,7,715,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760
D_0__Bacteria;D_1__Zixibacteria;D_2__uncultured bacterium,151,12,0,0,4,0,203,0,58,48,0,0,9,0,30,58,3,0,7,13,0,0,0,0,0,0,0,0,21,0,7,0,55,12,18,0,709
D_0__Bacteria;D_1__Planctomycetes;D_2__Pla3 lineage,144,40,0,28,0,0,109,0,136,48,0,0,71,6,15,0,0,11,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,69,0,0,692
D_0__Bacteria;D_1__Firmicutes;__,110,94,0,16,0,0,39,0,57,0,0,0,0,14,7,0,0,0,16,4,0,0,0,6,0,15,0,164,29,0,0,0,0,102,18,0,691
D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIb,0,0,0,8,5,0,290,21,0,0,0,0,0,23,16,0,18,0,22,5,0,0,0,0,8,0,0,0,0,0,0,0,0,259,0,0,675
